,period,ahc아이크림,가히멀티밤,닥터지선크림,디올립글로우,록시땅핸드크림,모다모다블랙샴푸,바디로션,바디미스트,바디워시,샴푸,선크림,설화수,설화수자음2종,염색약,인셀덤,인셀덤화장품,입생로랑쿠션,핸드크림,헤라블랙쿠션,헤어에센스
0,2019-10,78300,0,41900,35100,86900,0,62100,20500,48800,83000,43100,66400,2040,43300,138700,33500,71000,55700,103200,55400
1,2019-11,90600,0,41800,39800,128500,0,84300,21800,50800,89100,41700,72900,2540,43600,175600,38800,88700,95600,136800,59600
2,2019-12,102900,0,40700,61100,176700,0,76600,21300,55100,83600,37100,81000,2860,51700,207800,42900,81700,96700,110800,59100
3,2020-01,132300,0,28700,121100,114000,0,68000,23900,68100,84200,48700,97400,4320,59400,229900,41900,80800,53400,123500,67400
4,2020-02,107700,0,43300,89400,110900,0,63800,24800,64000,87900,53100,65600,2050,59400,234100,38400,76600,62200,111400,67000
5,2020-03,98400,0,62400,70300,75700,0,77400,34100,66700,94900,71900,69400,2340,79200,222200,31900,59200,62700,91100,74700
6,2020-04,102100,0,81100,52000,68700,0,77800,28300,58100,83600,83800,89100,4370,67800,216700,35300,42600,57700,90400,72100
7,2020-05,79400,23300,112900,54000,68700,0,49700,34100,58400,81300,102800,87200,3900,59500,222300,34800,44800,38700,107000,74600
8,2020-06,55800,6390,96600,35800,28200,0,37300,34200,65500,84100,112200,56400,12900,54200,197600,46400,39800,23600,100000,62400
9,2020-07,59600,3410,59600,42400,30500,0,34200,32500,70600,88200,72800,58300,40900,56500,195400,71800,52200,24800,103600,68000
10,2020-08,56000,3510,49300,50400,32200,0,33500,34500,82900,93300,62300,60500,38600,59700,180600,66400,163600,25300,105500,70100
11,2020-09,79500,6820,34400,52900,82000,0,59300,27300,69000,84600,38800,104500,77200,56300,204900,73900,84600,51000,75000,64300
12,2020-10,77900,15100,36500,62100,136200,0,104200,23700,59200,77500,40400,86600,56200,48900,231300,96500,73800,105400,73500,70400
13,2020-11,76300,30400,35700,65800,156700,0,103700,21000,56000,85600,37700,87700,46800,49000,260400,101200,71400,121900,73900,74400
14,2020-12,96500,276100,33100,91100,204300,0,119000,21400,62400,99900,35400,95400,53000,60900,268700,97400,71800,154300,59300,75700
15,2021-01,133900,83300,34500,75300,131500,0,96500,22300,66100,108500,46900,109100,66800,62100,281100,93900,65700,99600,66900,78600
16,2021-02,83700,85600,42200,80300,111000,0,64900,20900,61900,86000,49500,101100,61700,49500,244700,86400,70100,71100,70400,71000
17,2021-03,75000,150600,68100,60800,70400,0,61500,23300,68800,92600,75600,84000,48000,56300,266800,100800,67400,57100,101300,77200
18,2021-04,82900,175400,89500,51500,65200,590,59000,22300,66000,88100,126900,99900,56500,55300,298400,103000,61300,58000,168200,68900
19,2021-05,87800,421500,92800,97800,73700,5680,49400,27000,73300,89200,133400,112000,57900,57100,264400,100200,54700,49200,143200,69800
20,2021-06,66200,360600,96500,60400,34100,98800,37600,28900,81300,94900,134700,67800,33600,57200,234400,95700,45000,31200,128400,67300
21,2021-07,66900,442700,73700,49700,30500,238300,35300,30500,97100,102800,115700,64000,33500,65100,222600,86400,41600,28400,123300,68700
22,2021-08,76600,723100,53700,57400,43300,914100,40900,27300,94000,114000,60300,87500,41400,64100,233600,99600,54500,37700,95000,72200
23,2021-09,83800,594700,44100,57200,78100,707300,54100,29300,80100,102800,42100,142800,70000,58100,253300,102500,51700,55300,121800,72800
24,2021-10,86400,480600,41700,63400,117200,302200,93100,28800,67200,98100,51000,109900,38300,54300,250400,106300,53900,107100,135500,69900
25,2021-11,95500,380000,44600,82200,157100,284500,96900,25000,63200,92400,46500,107900,47900,53100,246200,112600,57600,139300,140300,70400
26,2021-12,95800,575300,39000,114700,221200,467800,100700,20800,63000,100100,37300,118600,50100,59500,242800,111400,67900,163500,127400,72700
27,2022-01,137100,548400,40000,132100,160700,324500,103200,22800,69100,109200,43600,153000,86100,69800,299400,128500,83300,131000,141100,80100
28,2022-02,98900,447100,41700,126500,127600,143000,85400,20200,70200,105100,57200,106200,57100,74500,247700,105500,111000,103200,131200,78200
29,2022-03,71400,267100,54800,88100,76200,150700,78500,21300,74300,112600,75500,105800,56600,68600,253100,105000,140700,82200,110500,81800
30,2022-04,73100,297900,84900,79300,64500,213100,65600,24300,66600,97500,114600,121500,61200,66600,259200,115400,103500,71200,131700,80400
31,2022-05,83600,287600,100800,103100,72800,252800,70500,30900,87300,108200,148400,135500,72300,66600,263700,130800,111300,63200,155800,84100
32,2022-06,72000,169800,77600,72600,45800,219800,58400,36700,94700,115900,105100,89700,46800,59300,221800,112500,90400,42000,150200,78800
33,2022-07,61500,131100,64600,65500,40000,260200,43700,35800,104300,123700,99600,78500,43000,69200,202400,99400,77600,39600,130000,78700
34,2022-08,75800,210200,46800,73800,51200,132200,118200,30600,95900,121700,67600,109800,63200,66600,191500,98900,81100,49400,132900,85700
35,2022-09,72800,147700,43000,81500,70600,100900,70300,20300,75400,92200,65500,129100,64300,81900,185100,86600,77000,65800,129500,69000
